Class,Genus,Species,Common_name,Mass_kg,Max_longevity_yr,Data_quality,Specimen_origin,Mass_source,Longevity_source,Scientific_name,log10M,log10T,bin2
Aves,Tetrao,urogallus,Western capercaillie,2.95,18.0,acceptable,captivity,AnAge,AnAge,Tetrao urogallus,0.46982201597816303,1.255272505103306,0
Aves,Tetrastes,bonasia,Hazel grouse,0.429,7.2,acceptable,wild,AnAge,AnAge,Tetrastes bonasia,-0.36754270781527576,0.8573324964312685,-2
Aves,Tympanuchus,cupido,Greater prairie chicken,0.908,5.0,acceptable,unknown,AnAge,AnAge,Tympanuchus cupido,-0.04191415147891488,0.6989700043360189,-2
Aves,Tympanuchus,pallidicinctus,Lesser prairie chicken,0.7945,13.5,acceptable,wild,AnAge,AnAge,Tympanuchus pallidicinctus,-0.09990609845660166,1.130333768495006,-2
Aves,Tympanuchus,phasianellus,Sharp-tailed grouse,0.908,7.5,acceptable,unknown,AnAge,AnAge,Tympanuchus phasianellus,-0.04191415147891488,0.8750612633917001,-2
Aves,Gavia,arctica,Black-throated diver,2.724,28.0,acceptable,wild,AnAge,AnAge,Gavia arctica,0.4352071032407476,1.4471580313422192,0
Aves,Gavia,immer,Great northern diver,3.405,24.1,acceptable,wild,AnAge,AnAge,Gavia immer,0.532117116248804,1.3820170425748683,0
Aves,Gavia,stellata,Red-throated diver,1.816,24.0,acceptable,unknown,AnAge,AnAge,Gavia stellata,0.2591158441850663,1.380211241711606,0
Aves,Anthropoides,virgo,Demoiselle crane,2.4,27.0,high,captivity,AnAge,AnAge,Anthropoides virgo,0.38021124171160603,1.4313637641589874,0
Aves,Balearica,regulorum,Grey crowned crane,3.372,27.2,acceptable,captivity,AnAge,AnAge,Balearica regulorum,0.5278875659527047,1.4345689040341987,0
Aves,Grus,americana,Whooping crane,7.5,40.0,acceptable,captivity,AnAge,AnAge,Grus americana,0.8750612633917001,1.6020599913279625,0
Aves,Grus,antigone,Sarus crane,8.663,41.8,acceptable,captivity,AnAge,AnAge,Grus antigone,0.9376683143990051,1.6211762817750353,0
Aves,Grus,canadensis,Sandhill crane,3.89,36.6,acceptable,wild,AnAge,AnAge,Grus canadensis,0.5899496013257077,1.5634810853944108,0
Aves,Grus,grus,Common crane,5.5,43.0,acceptable,wild,AnAge,AnAge,Grus grus,0.7403626894942439,1.6334684555795866,0
Aves,Grus,japonensis,Red-crowned crane,8.5,25.2,acceptable,captivity,AnAge,AnAge,Grus japonensis,0.9294189257142927,1.4014005407815442,0
Aves,Grus,leucogeranus,Siberian crane,5.931,36.2,acceptable,captivity,AnAge,AnAge,Grus leucogeranus,0.7731279240333347,1.5587085705331658,0
Aves,Grus,monacha,Hooded crane,3.7,24.0,acceptable,captivity,AnAge,AnAge,Grus monacha,0.568201724066995,1.380211241711606,0
Aves,Grus,rubicunda,Brolga,6.2505,33.0,acceptable,captivity,AnAge,AnAge,Grus rubicunda,0.7959147595129592,1.5185139398778875,0
Aves,Grus,vipio,White-naped crane,5.4,45.0,acceptable,captivity,AnAge,AnAge,Grus vipio,0.7323937598229685,1.6532125137753437,0
Aves,Fulica,americana,American coot,0.4508,22.3,acceptable,wild,AnAge,AnAge,Fulica americana,-0.3460160926259311,1.3483048630481607,-2
Aves,Fulica,atra,"Eurasian coot, or Coot",0.7343,20.6,acceptable,wild,AnAge,AnAge,Fulica atra,-0.13412647179218534,1.3138672203691535,-2
Aves,Gallinula,chloropus,Common moorhen,0.392,18.6,acceptable,wild,AnAge,AnAge,Gallinula chloropus,-0.4067139329795427,1.2695129442179163,-2
Aves,Gallinula,tenebrosa,Dusky moorhen,0.5315,13.9,acceptable,wild,AnAge,AnAge,Gallinula tenebrosa,-0.27449673114068446,1.1430148002540952,-2
Aves,Gallirallus,australis,Weka,0.8993,13.8,acceptable,captivity,AnAge,AnAge,Gallirallus australis,-0.046095406586540315,1.1398790864012365,-2
Aves,Gallirallus,sylvestris,Lord howe woodhen,0.496,15.1,acceptable,wild,AnAge,AnAge,Gallirallus sylvestris,-0.30451832350980257,1.1789769472931695,-2
Aves,Porphyrio,porphyrio,Purple swamphen,0.85,8.4,acceptable,wild,AnAge,AnAge,Porphyrio porphyrio,-0.07058107428570727,0.9242792860618817,-2
Aves,Rallus,aquaticus,Water rail,0.1115,8.9,acceptable,wild,AnAge,AnAge,Rallus aquaticus,-0.9527251326158205,0.9493900066449128,-2
Aves,Rallus,longirostris,Clapper rail,0.308,7.5,acceptable,wild,AnAge,AnAge,Rallus longirostris,-0.5114492834995558,0.8750612633917001,-2
Aves,Tauraco,leucotis,White-cheeked turaco,0.265,12.4,acceptable,captivity,AnAge,AnAge,Tauraco leucotis,-0.5767541260631921,1.0934216851622351,-2
Aves,Otis,tarda,Great bustard,7.8955,28.3,acceptable,captivity,AnAge,AnAge,Otis tarda,0.8973796378737801,1.4517864355242902,0
Aves,Acanthiza,chrysorrhoa,Yellow-rumped thornbill,0.009375,13.1,acceptable,wild,AnAge,AnAge,Acanthiza chrysorrhoa,-2.0280287236002437,1.1172712956557642,-4
Aves,Acanthiza,ewingii,Tasmanian thornbill,0.00695,7.7,acceptable,wild,AnAge,AnAge,Acanthiza ewingii,-2.1580151954098863,0.8864907251724818,-4
Aves,Acanthiza,inornata,Western thornbill,0.007,8.9,acceptable,wild,AnAge,AnAge,Acanthiza inornata,-2.154901959985743,0.9493900066449128,-4
Aves,Acanthiza,katherina,Mountain thornbill,0.0068499999999999,15.0,acceptable,wild,AnAge,AnAge,Acanthiza katherina,-2.164309428507581,1.1760912590556813,-4
Aves,Acanthiza,lineata,Striated thornbill,0.0070999999999999,23.5,acceptable,wild,AnAge,AnAge,Acanthiza lineata,-2.1487416512809308,1.3710678622717363,-4
Aves,Acanthiza,nana,Yellow thornbill,0.00635,13.8,acceptable,wild,AnAge,AnAge,Acanthiza nana,-2.1972262747080245,1.1398790864012365,-4
Aves,Acanthiza,pusilla,Brown thornbill,0.0076,17.6,acceptable,wild,AnAge,AnAge,Acanthiza pusilla,-2.1191864077192086,1.24551266781415,-4
Aves,Acanthiza,reguloides,Buff-rumped thornbill,0.0077,9.5,acceptable,wild,AnAge,AnAge,Acanthiza reguloides,-2.113509274827518,0.9777236052888477,-4
Aves,Acanthiza,uropygialis,Chestnut-rumped thornbill,0.00635,7.0,acceptable,wild,AnAge,AnAge,Acanthiza uropygialis,-2.1972262747080245,0.8450980400142568,-4
Aves,Aphelocephala,leucopsis,Southern whiteface,0.01235,14.3,acceptable,wild,AnAge,AnAge,Aphelocephala leucopsis,-1.9083330424043154,1.1553360374650619,-2
Aves,Gerygone,fusca,Western gerygone,0.0054,6.5,acceptable,wild,AnAge,AnAge,Gerygone fusca,-2.2676062401770314,0.8129133566428556,-4
Aves,Gerygone,levigaster,Mangrove gerygone,0.0062,5.5,acceptable,wild,AnAge,AnAge,Gerygone levigaster,-2.207608310501746,0.7403626894942439,-4
Aves,Gerygone,magnirostris,Large-billed gerygone,0.0068,4.1,acceptable,wild,AnAge,AnAge,Gerygone magnirostris,-2.167491087293764,0.6127838567197355,-4
Aves,Gerygone,mouki,Brown gerygone,0.00525,8.9,acceptable,wild,AnAge,AnAge,Gerygone mouki,-2.279840696594043,0.9493900066449128,-4
Aves,Gerygone,palpebrosa,Fairy gerygone,0.007475,4.0,acceptable,wild,AnAge,AnAge,Gerygone palpebrosa,-2.126388803003533,0.6020599913279624,-4
Aves,Gerygone,tenebrosa,Dusky gerygone,0.00785,10.6,acceptable,wild,AnAge,AnAge,Gerygone tenebrosa,-2.1051303432547477,1.0253058652647702,-4
Aves,Oreoscopus,gutturalis,Fernwren,0.02,4.0,acceptable,wild,AnAge,AnAge,Oreoscopus gutturalis,-1.6989700043360187,0.6020599913279624,-2
Aves,Origma,solitaria,Rockwarbler,0.01435,7.0,acceptable,wild,AnAge,AnAge,Origma solitaria,-1.8431480989299889,0.8450980400142568,-2
Aves,Pycnoptilus,floccosus,Pilotbird,0.0314,6.5,acceptable,wild,AnAge,AnAge,Pycnoptilus floccosus,-1.5030703519267852,0.8129133566428556,-2
Aves,Pyrrholaemus,brunneus,Redthroat,0.0125,9.0,acceptable,wild,AnAge,AnAge,Pyrrholaemus brunneus,-1.9030899869919435,0.9542425094393249,-2
Aves,Sericornis,citreogularis,Yellow-throated scrubwren,0.0174,15.6,acceptable,wild,AnAge,AnAge,Sericornis citreogularis,-1.7594507517174003,1.1931245983544616,-2
Aves,Sericornis,frontalis,White-browed scrubwren,0.0134,17.6,acceptable,wild,AnAge,AnAge,Sericornis frontalis,-1.8728952016351923,1.24551266781415,-2
Aves,Smicrornis,brevirostris,Weebill,0.00535,7.4,acceptable,wild,AnAge,AnAge,Smicrornis brevirostris,-2.2716462179787715,0.8692317197309762,-4
Aves,Acrocephalus,arundinaceus,Great reed-warbler,0.03,10.1,acceptable,wild,AnAge,AnAge,Acrocephalus arundinaceus,-1.5228787452803376,1.0043213737826426,-2
Aves,Acrocephalus,australis,Australian reed warbler,0.0242,7.1,acceptable,wild,AnAge,AnAge,Acrocephalus australis,-1.6161846340195687,0.8512583487190752,-2
Aves,Acrocephalus,dumetorum,Blyth's reed-warbler,0.0112,8.0,acceptable,wild,AnAge,AnAge,Acrocephalus dumetorum,-1.9507819773298183,0.9030899869919435,-2
Aves,Acrocephalus,melanopogon,Moustached warbler,0.0109,11.2,acceptable,wild,AnAge,AnAge,Acrocephalus melanopogon,-1.9625735020593764,1.0492180226701815,-2
Aves,Acrocephalus,palustris,Marsh warbler,0.0115,9.8,acceptable,wild,AnAge,AnAge,Acrocephalus palustris,-1.9393021596463882,0.9912260756924949,-2
Aves,Acrocephalus,schoenobaenus,Sedge warbler,0.0118,11.8,acceptable,wild,AnAge,AnAge,Acrocephalus schoenobaenus,-1.9281179926938745,1.0718820073061255,-2
Aves,Acrocephalus,scirpaceus,Eurasian reed-warbler,0.0123,16.9,acceptable,wild,AnAge,AnAge,Acrocephalus scirpaceus,-1.9100948885606022,1.2278867046136734,-2
Aves,Acrocephalus,sechellensis,Seychelles warbler,0.0159,17.0,acceptable,wild,AnAge,AnAge,Acrocephalus sechellensis,-1.7986028756795485,1.2304489213782739,-2
Aves,Acrocephalus,stentoreus,"Clamorous reed warbler, or Indian great reed warbler",0.0242,10.6,acceptable,wild,AnAge,AnAge,Acrocephalus stentoreus,-1.6161846340195687,1.0253058652647702,-2
Aves,Hippolais,icterina,Icterine warbler,0.0132,10.8,acceptable,wild,AnAge,AnAge,Hippolais icterina,-1.8794260687941502,1.0334237554869496,-2
Aves,Hippolais,polyglotta,Melodious warbler,0.011,8.9,acceptable,wild,AnAge,AnAge,Hippolais polyglotta,-1.958607314841775,0.9493900066449128,-2
Aves,Iduna,pallida,"Eastern olivaceous warbler, or Olivaceous warbler",0.009,7.9,acceptable,wild,AnAge,AnAge,Iduna pallida,-2.0457574905606752,0.8976270912904414,-4
Aves,Aegithalos,caudatus,Long-tailed tit,0.0086,11.1,acceptable,wild,AnAge,AnAge,Aegithalos caudatus,-2.065501548756432,1.0453229787866574,-4
Aves,Psaltriparus,minimus,Bushtit,0.0053,9.1,acceptable,wild,AnAge,AnAge,Psaltriparus minimus,-2.275724130399211,0.9590413923210935,-4
Aves,Alauda,arvensis,Eurasian skylark,0.0375,10.1,acceptable,wild,AnAge,AnAge,Alauda arvensis,-1.4259687322722812,1.0043213737826426,-2
Aves,Eremophila,alpestris,Horned lark,0.0335,8.0,acceptable,wild,AnAge,AnAge,Eremophila alpestris,-1.4749551929631548,0.9030899869919435,-2
Aves,Galerida,cristata,Crested lark,0.0429,11.6,acceptable,wild,AnAge,AnAge,Galerida cristata,-1.3675427078152758,1.0644579892269186,-2
Aves,Lullula,arborea,Wood lark,0.0269,6.0,acceptable,wild,AnAge,AnAge,Lullula arborea,-1.570247719997592,0.7781512503836436,-2
Aves,Artamus,cyanopterus,Dusky woodswallow,0.033,8.2,acceptable,wild,AnAge,AnAge,Artamus cyanopterus,-1.4814860601221125,0.9138138523837167,-2
Aves,Atrichornis,clamosus,Noisy scrubbird,0.041525,7.8,acceptable,wild,AnAge,AnAge,Atrichornis clamosus,-1.3816903588765679,0.8920946026904804,-2
Aves,Bombycilla,cedrorum,Cedar waxwing,0.03,8.2,acceptable,wild,AnAge,AnAge,Bombycilla cedrorum,-1.5228787452803376,0.9138138523837167,-2
Aves,Bombycilla,garrulus,Bohemian waxwing,0.0545,13.5,acceptable,wild,AnAge,AnAge,Bombycilla garrulus,-1.2636034977233574,1.130333768495006,-2
Aves,Calcarius,lapponicus,Lapland longspur,0.02835,6.0,acceptable,wild,AnAge,AnAge,Calcarius lapponicus,-1.5474469367710746,0.7781512503836436,-2
Aves,Calcarius,pictus,Smith's longspur,0.02665,5.0,acceptable,wild,AnAge,AnAge,Calcarius pictus,-1.5743027866374089,0.6989700043360189,-2
Aves,Plectrophenax,hyperboreus,Mckay's bunting,0.042,4.8,acceptable,wild,AnAge,AnAge,Plectrophenax hyperboreus,-1.3767507096020994,0.6812412373755872,-2
Aves,Plectrophenax,nivalis,Snow bunting,0.0418,10.2,acceptable,wild,AnAge,AnAge,Plectrophenax nivalis,-1.3788237182249647,1.0086001717619175,-2
Aves,Coracina,novaehollandiae,Black-faced cuckooshrike,0.115133,9.0,acceptable,wild,AnAge,AnAge,Coracina novaehollandiae,-0.9388001788568113,0.9542425094393249,-2
Aves,Coracina,tenuirostris,Common cicadabird,0.0585,6.2,acceptable,wild,AnAge,AnAge,Coracina tenuirostris,-1.2328441339178196,0.7923916894982539,-2
