HAGRID,Kingdom,Phylum,Class,Order,Family,Genus,Species,Common name,Adult_weight_g,Adult_weight_g,Mass_kg,Max_longevity_yr,Max_longevity_yr,log10M,log10T,Specimen origin,Data quality,Source,Mass_source,Longevity_source,Backfill_note
00232,Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Buteo,jamaicensis,Red-tailed hawk,1362,1362.0,1.362,30.7,30.7,0.13417710757676637,1.4871383754771865,wild,acceptable,427,AnAge (Adult weight (g)),AnAge (Maximum longevity (yrs)),
00233,Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Buteo,lagopus,Rough-legged hawk,980.64,980.64,0.98064,18.8,18.8,-0.008490395991965206,1.2741578492636798,wild,acceptable,450,AnAge (Adult weight (g)),AnAge (Maximum longevity (yrs)),
00234,Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Buteo,lineatus,Red-shouldered hawk,607,607.0,0.607,22.4,22.4,-0.21681130892474243,1.3502480183341627,wild,acceptable,427,AnAge (Adult weight (g)),AnAge (Maximum longevity (yrs)),
00235,Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Buteo,platypterus,Broad-winged hawk,454,454.0,0.454,18.3,18.3,-0.34294414714289606,1.2624510897304295,wild,acceptable,577,AnAge (Adult weight (g)),AnAge (Maximum longevity (yrs)),
00236,Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Buteo,regalis,Ferruginous hawk,1500,1500.0,1.5,23.7,23.7,0.17609125905568124,1.374748346010104,wild,acceptable,427,AnAge (Adult weight (g)),AnAge (Maximum longevity (yrs)),
00238,Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Buteo,solitarius,Hawaiian hawk,505,505.0,0.505,17,17.0,-0.2967086218813386,1.2304489213782739,wild,acceptable,445,AnAge (Adult weight (g)),AnAge (Maximum longevity (yrs)),
00239,Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Buteo,swainsoni,Swainson's hawk,980.64,980.64,0.98064,24.9,24.9,-0.008490395991965206,1.3961993470957363,wild,acceptable,427,AnAge (Adult weight (g)),AnAge (Maximum longevity (yrs)),
00240,Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Buteogallus,anthracinus,Common black hawk,837,837.0,0.837,13.5,13.5,-0.07727454200674003,1.130333768495006,wild,acceptable,1,AnAge (Adult weight (g)),AnAge (Maximum longevity (yrs)),
00242,Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Circaetus,gallicus,Short-toed eagle,1699.5,1699.5,1.6995,17.3,17.3,0.23032116891907847,1.2380461031287955,wild,acceptable,1,AnAge (Adult weight (g)),AnAge (Maximum longevity (yrs)),
00243,Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Circus,aeruginosus,Western marsh harrier,711.5,711.5,0.7115,20.1,20.1,-0.14782509557969686,1.3031960574204888,wild,acceptable,450,AnAge (Adult weight (g)),AnAge (Maximum longevity (yrs)),
00244,Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Circus,approximans,Swamp harrier,752.5,752.5,0.7525,11,11.0,-0.12349349573411905,1.041392685158225,wild,acceptable,1305,AnAge (Adult weight (g)),AnAge (Maximum longevity (yrs)),
00245,Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Circus,cyaneus,Northern harrier,392,392.0,0.392,17.1,17.1,-0.4067139329795427,1.2329961103921538,wild,acceptable,450,AnAge (Adult weight (g)),AnAge (Maximum longevity (yrs)),
00246,Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Circus,macrourus,Pallid harrier,388.5,388.5,0.3885,13.5,13.5,-0.4106089768630669,1.130333768495006,wild,acceptable,1,AnAge (Adult weight (g)),AnAge (Maximum longevity (yrs)),
00247,Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Circus,pygargus,Montagu's harrier,315.5,315.5,0.3155,16.3,16.3,-0.5010006364198469,1.212187604403958,wild,acceptable,1,AnAge (Adult weight (g)),AnAge (Maximum longevity (yrs)),
00248,Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Elanus,axillaris,Black-shouldered kite,265.5,265.5,0.2655,3.5,3.5,-0.575935474582512,0.5440680443502757,wild,acceptable,1305,AnAge (Adult weight (g)),AnAge (Maximum longevity (yrs)),
00249,Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Elanus,caeruleus,Black-winged kite,260.5,260.5,0.2605,6,6.0,-0.5841922723644567,0.7781512503836436,wild,acceptable,1,AnAge (Adult weight (g)),AnAge (Maximum longevity (yrs)),
00250,Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Elanus,leucurus,White-tailed kite,280,280.0,0.28,6,6.0,-0.5528419686577808,0.7781512503836436,wild,acceptable,427,AnAge (Adult weight (g)),AnAge (Maximum longevity (yrs)),
00251,Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Geranoaetus,melanoleucus,Black-chested buzzard-eagle,2447.5,2447.5,2.4475,42,42.0,0.38872270047517543,1.6232492903979006,captivity,acceptable,575,AnAge (Adult weight (g)),AnAge (Maximum longevity (yrs)),
00252,Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Gypaetus,barbatus,Bearded vulture,5070,5070.0,5.07,40,40.0,0.705007959333336,1.6020599913279625,captivity,acceptable,1,AnAge (Adult weight (g)),AnAge (Maximum longevity (yrs)),
00253,Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Gypohierax,angolensis,Palm-nut vulture,1600,1600.0,1.6,27.1,27.1,0.20411998265592482,1.4329692908744058,captivity,acceptable,575,AnAge (Adult weight (g)),AnAge (Maximum longevity (yrs)),
00254,Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Gyps,africanus,White-backed vulture,5433,5433.0,5.433,19.7,19.7,0.7350397050337208,1.294466226161593,captivity,acceptable,575,AnAge (Adult weight (g)),AnAge (Maximum longevity (yrs)),
00256,Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Gyps,coprotheres,Cape vulture,8177,8177.0,8.177,31.2,31.2,0.9125939977521057,1.4941545940184429,wild,acceptable,1343,AnAge (Adult weight (g)),AnAge (Maximum longevity (yrs)),
00257,Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Gyps,fulvus,"Griffon vulture, or Eurasian griffon",7436,7436.0,7.436,41.4,41.4,0.871339381099861,1.6170003411208989,captivity,acceptable,1,AnAge (Adult weight (g)),AnAge (Maximum longevity (yrs)),
00258,Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Haliaeetus,albicilla,White-tailed sea-eagle,6696.5,6696.5,6.6965,42,42.0,0.8258478731712857,1.6232492903979006,captivity,acceptable,1,AnAge (Adult weight (g)),AnAge (Maximum longevity (yrs)),
00259,Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Haliaeetus,leucocephalus,Bald eagle,3175,3175.0,3.175,48,48.0,0.5017437296279944,1.6812412373755872,captivity,acceptable,,AnAge (Adult weight (g)),AnAge (Maximum longevity (yrs)),
00260,Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Haliastur,indus,Brahminy kite,529,529.0,0.529,24.5,24.5,-0.2765443279648142,1.3891660843645326,wild,acceptable,1305,AnAge (Adult weight (g)),AnAge (Maximum longevity (yrs)),
00261,Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Haliastur,sphenurus,Whistling kite,755,755.0,0.755,20.4,20.4,-0.12205304837081175,1.3096301674258988,wild,acceptable,1305,AnAge (Adult weight (g)),AnAge (Maximum longevity (yrs)),
00262,Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Harpia,harpyja,Harpy eagle,4800,4800.0,4.8,16.8,16.8,0.6812412373755872,1.2253092817258628,captivity,acceptable,575,AnAge (Adult weight (g)),AnAge (Maximum longevity (yrs)),
00263,Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Harpyopsis,novaeguineae,New Guinea eagle,2000,2000.0,2.0,30,30.0,0.3010299956639812,1.4771212547196624,captivity,acceptable,1,AnAge (Adult weight (g)),AnAge (Maximum longevity (yrs)),
00264,Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Hieraaetus,morphnoides,Little eagle,791,791.0,0.791,38.7,38.7,-0.10182351650232342,1.5877109650189114,wild,acceptable,1305,AnAge (Adult weight (g)),AnAge (Maximum longevity (yrs)),
00265,Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Ictinia,mississippiensis,Mississippi kite,266,266.0,0.266,11.2,11.2,-0.575118363368933,1.0492180226701815,wild,acceptable,427,AnAge (Adult weight (g)),AnAge (Maximum longevity (yrs)),
00266,Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Kaupifalco,monogrammicus,Lizard buzzard,280.5,280.5,0.2805,8.6,8.6,-0.5520671344078197,0.9344984512435677,wild,acceptable,1,AnAge (Adult weight (g)),AnAge (Maximum longevity (yrs)),
00267,Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Lophoictinia,isura,Square-tailed kite,585.5,585.5,0.5855,17,17.0,-0.23247310059161805,1.2304489213782739,wild,acceptable,1,AnAge (Adult weight (g)),AnAge (Maximum longevity (yrs)),
00268,Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Milvus,migrans,Black kite,1000,1000.0,1.0,24,24.0,0.0,1.380211241711606,unknown,acceptable,,AnAge (Adult weight (g)),AnAge (Maximum longevity (yrs)),
00269,Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Milvus,milvus,Red kite,1080,1080.0,1.08,38,38.0,0.03342375548694973,1.5797835966168101,captivity,acceptable,1,AnAge (Adult weight (g)),AnAge (Maximum longevity (yrs)),
00270,Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Necrosyrtes,monachus,Hooded vulture,2043,2043.0,2.043,21.3,21.3,0.3102683666324476,1.3283796034387378,wild,acceptable,1343,AnAge (Adult weight (g)),AnAge (Maximum longevity (yrs)),
00271,Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Neophron,percnopterus,Egyptian vulture,2082,2082.0,2.082,37,37.0,0.3184807251745173,1.568201724066995,captivity,acceptable,1,AnAge (Adult weight (g)),AnAge (Maximum longevity (yrs)),
00272,Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Parabuteo,unicinctus,Harris's hawk,994.26,994.26,0.99426,25,25.0,-0.002500032302777732,1.3979400086720377,captivity,acceptable,1,AnAge (Adult weight (g)),AnAge (Maximum longevity (yrs)),
00273,Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Pernis,apivorus,"European honey buzzard, or Western honey-buzzard",758,758.0,0.758,29,29.0,-0.12033079436794646,1.462397997898956,wild,acceptable,1,AnAge (Adult weight (g)),AnAge (Maximum longevity (yrs)),
00274,Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Pithecophaga,jefferyi,Philippine eagle,6500,6500.0,6.5,41,41.0,0.8129133566428556,1.6127838567197355,captivity,acceptable,515,AnAge (Adult weight (g)),AnAge (Maximum longevity (yrs)),
00275,Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Rostrhamus,sociabilis,Snail kite,352.5,352.5,0.3525,17,17.0,-0.4528408786725825,1.2304489213782739,wild,acceptable,1,AnAge (Adult weight (g)),AnAge (Maximum longevity (yrs)),
00279,Animalia,Chordata,Aves,Accipitriformes,Cathartidae,Cathartes,aura,Turkey vulture,2200,2200.0,2.2,20.8,20.8,0.3424226808222063,1.3180633349627615,unknown,acceptable,,AnAge (Adult weight (g)),AnAge (Maximum longevity (yrs)),
