Class,Genus,Species,Common name,Mass_kg,Max_longevity_yr,log10M,log10T
Aves,Aix,sponsa,Wood duck,0.45280000000000004,22.5,-0.34409358181978494,1.3521825181113625
Aves,Alopochen,aegyptiaca,Egyptian goose,1.9,25.5,0.2787536009528289,1.4065401804339552
Aves,Anas,acuta,Northern pintail,0.721,27.4,-0.14206473528057098,1.437750562820388
Aves,Anas,americana,American wigeon,0.7938,21.3,-0.10028890542885542,1.3283796034387378
Aves,Anas,clypeata,Northern shoveler,0.613,22.6,-0.21253952548158495,1.354108439147401
Aves,Anas,crecca,Green-winged teal,0.3438,27.1,-0.4636941276489664,1.4329692908744058
Aves,Anas,cyanoptera,Cinnamon teal,0.411,12.9,-0.38615817812393083,1.110589710299249
Aves,Anas,discors,Blue-winged teal,0.42,23.2,-0.37675070960209955,1.3654879848908996
Aves,Anas,fulvigula,Mottled duck,0.95,20.0,-0.022276394711152253,1.3010299956639813
Aves,Anas,gracilis,Grey teal,0.48875,31.7,-0.31091322959607676,1.5010592622177514
Aves,Anas,laysanensis,Laysan duck,0.5,12.0,-0.3010299956639812,1.0791812460476249
Aves,Anas,penelope,Eurasian wigeon,0.66,35.2,-0.1804560644581313,1.546542663478131
Aves,Anas,platyrhynchos,Mallard,1.0480999999999998,29.1,0.02040272098387806,1.4638929889859074
Aves,Anas,querquedula,Garganey,0.326,14.7,-0.48678239993206096,1.167317334748176
Aves,Anas,rubripes,American black duck,0.9987,26.6,-0.0005649501236701673,1.424881636631067
Aves,Anas,strepera,Gadwall,0.791,28.0,-0.10182351650232342,1.4471580313422192
Aves,Anas,superciliosa,Pacific black duck,0.981,27.2,-0.008330992620051499,1.4345689040341987
Aves,Anser,albifrons,Greater white-fronted goose,2.681,47.0,0.42829681398287955,1.6720978579357175
Aves,Anser,anser,Greylag goose,3.3085,31.0,0.5196311389796143,1.4913616938342726
Aves,Anser,brachyrhynchus,Pink-footed goose,2.645,40.9,0.42242567637120454,1.6117233080073419
Aves,Anser,erythropus,Lesser white-fronted goose,1.77925,14.8,0.25023697449896304,1.1702617153949575
Aves,Anser,fabalis,Bean goose,3.348,25.6,0.5247854493212224,1.4082399653118496
Aves,Aythya,affinis,Lesser scaup,0.787,18.3,-0.10402526764093542,1.2624510897304295
Aves,Aythya,americana,Redhead,1.0773,22.6,0.03233665984573551,1.354108439147401
Aves,Aythya,collaris,Ring-necked duck,0.737,20.4,-0.13253251214094852,1.3096301674258988
Aves,Aythya,ferina,Common pochard,0.823,23.2,-0.08460016478773018,1.3654879848908996
Aves,Aythya,fuligula,Tufted duck,0.7015,45.2,-0.15397232463562127,1.655138434811382
Aves,Aythya,marila,Greater scaup,0.9285,22.1,-0.03221809192420079,1.3443922736851108
Aves,Aythya,valisineria,Canvasback,1.2087999999999999,29.5,0.08235445133096891,1.469822015978163
Aves,Biziura,lobata,Musk duck,1.6975,6.2,0.2298097829525393,0.7923916894982539
Aves,Branta,bernicla,Brent goose,1.1632,28.8,0.06565439351496262,1.4593924877592308
Aves,Branta,canadensis,Canada goose,3.2,42.0,0.505149978319906,1.6232492903979006
Aves,Branta,hutchinsii,Cackling goose,1.9401,18.3,0.2878241156667792,1.2624510897304295
Aves,Branta,leucopsis,Barnacle goose,1.687,28.2,0.22711508258912524,1.4502491083193612
Aves,Branta,sandvicensis,Hawaiian goose,2.15,42.0,0.33243845991560533,1.6232492903979006
Aves,Bucephala,albeola,Bufflehead,0.4,18.7,-0.3979400086720376,1.271841606536499
Aves,Bucephala,clangula,Common goldeneye,0.89586,20.9,-0.0477598541526708,1.320146286111054
Aves,Bucephala,islandica,Barrow's goldeneye,0.95715,18.0,-0.019019996321927364,1.255272505103306
Aves,Cereopsis,novaehollandiae,Cape barren goose,3.98,29.1,0.5998830720736879,1.4638929889859074
Aves,Chen,caerulescens,Snow goose,2.8066500000000003,27.5,0.4481882578264753,1.4393326938302626
