Class,Genus,Species,Common_name,Mass_kg,Max_longevity_yr,Data_quality,Specimen_origin,Mass_source,Longevity_source
Aves,Anser,fabalis,Bean goose,3.348,25.6,acceptable,wild,AnAge,AnAge
Aves,Aythya,affinis,Lesser scaup,0.787,18.3,acceptable,wild,AnAge,AnAge
Aves,Aythya,americana,Redhead,1.0773,22.6,acceptable,wild,AnAge,AnAge
Aves,Aythya,collaris,Ring-necked duck,0.737,20.4,acceptable,wild,AnAge,AnAge
Aves,Aythya,ferina,Common pochard,0.823,23.2,acceptable,wild,AnAge,AnAge
Aves,Aythya,fuligula,Tufted duck,0.7015,45.2,acceptable,wild,AnAge,AnAge
Aves,Aythya,marila,Greater scaup,0.9285,22.1,acceptable,wild,AnAge,AnAge
Aves,Aythya,valisineria,Canvasback,1.2087999999999999,29.5,acceptable,wild,AnAge,AnAge
Aves,Biziura,lobata,Musk duck,1.6975,6.2,acceptable,wild,AnAge,AnAge
Aves,Branta,bernicla,Brent goose,1.1632,28.8,acceptable,wild,AnAge,AnAge
Aves,Branta,canadensis,Canada goose,3.2,42.0,acceptable,unknown,AnAge,AnAge
Aves,Branta,hutchinsii,Cackling goose,1.9401,18.3,acceptable,wild,AnAge,AnAge
Aves,Branta,leucopsis,Barnacle goose,1.687,28.2,acceptable,wild,AnAge,AnAge
Aves,Branta,sandvicensis,Hawaiian goose,2.15,42.0,acceptable,wild,AnAge,AnAge
Aves,Bucephala,albeola,Bufflehead,0.4,18.7,acceptable,wild,AnAge,AnAge
Aves,Bucephala,clangula,Common goldeneye,0.89586,20.9,acceptable,wild,AnAge,AnAge
Aves,Bucephala,islandica,Barrow's goldeneye,0.95715,18.0,acceptable,wild,AnAge,AnAge
Aves,Cereopsis,novaehollandiae,Cape barren goose,3.98,29.1,acceptable,wild,AnAge,AnAge
Aves,Chen,caerulescens,Snow goose,2.8066500000000003,27.5,acceptable,wild,AnAge,AnAge
Aves,Chen,canagica,Emperor goose,2.148,12.0,acceptable,wild,AnAge,AnAge
Aves,Chen,rossii,Ross's goose,1.715,22.5,acceptable,wild,AnAge,AnAge
Aves,Chenonetta,jubata,Maned duck,0.8125,9.1,acceptable,wild,AnAge,AnAge
Aves,Clangula,hyemalis,Oldsquaw,0.872,22.7,acceptable,wild,AnAge,AnAge
Aves,Cygnus,atratus,Black swan,5.65,24.7,acceptable,wild,AnAge,AnAge
Aves,Cygnus,buccinator,Trumpeter swan,13.0,32.5,acceptable,captivity,AnAge,AnAge
Aves,Cygnus,columbianus,Tundra swan,6.35,24.1,acceptable,wild,AnAge,AnAge
Aves,Cygnus,cygnus,Whooper swan,9.35,26.7,acceptable,wild,AnAge,AnAge
Aves,Cygnus,olor,Mute swan,8.3,40.0,acceptable,wild,AnAge,AnAge
Aves,Dendrocygna,autumnalis,Black-bellied whistling duck,0.828,8.2,acceptable,wild,AnAge,AnAge
Aves,Dendrocygna,viduata,White-faced whistling duck,0.61,12.0,acceptable,captivity,AnAge,AnAge
Aves,Histrionicus,histrionicus,Harlequin duck,0.56125,14.6,acceptable,wild,AnAge,AnAge
Aves,Lophodytes,cucullatus,Hooded merganser,0.634375,15.7,acceptable,captivity,AnAge,AnAge
Aves,Melanitta,fusca,White-winged scoter,1.3608,21.4,acceptable,wild,AnAge,AnAge
Aves,Melanitta,nigra,Black scoter,1.0522,16.8,acceptable,wild,AnAge,AnAge
Aves,Melanitta,perspicillata,Surf scoter,1.0975,9.5,acceptable,wild,AnAge,AnAge
Aves,Mergellus,albellus,Smew,0.61,10.0,acceptable,wild,AnAge,AnAge
Aves,Mergus,merganser,Common merganser,1.445,14.8,acceptable,wild,AnAge,AnAge
Aves,Mergus,serrator,Red-breasted merganser,1.0206,21.3,acceptable,wild,AnAge,AnAge
Aves,Netta,rufina,Red-crested pochard,1.118,12.9,acceptable,wild,AnAge,AnAge
Aves,Oxyura,australis,Blue-billed duck,0.798,16.0,acceptable,captivity,AnAge,AnAge
Aves,Oxyura,jamaicensis,Ruddy duck,0.542,20.0,acceptable,captivity,AnAge,AnAge
Aves,Plectropterus,gambensis,Spur-winged goose,3.869,11.3,acceptable,captivity,AnAge,AnAge
Aves,Polysticta,stelleri,Steller's eider,0.9072,23.0,acceptable,wild,AnAge,AnAge
Aves,Somateria,mollissima,Common eider,2.13,37.8,acceptable,wild,AnAge,AnAge
Aves,Tadorna,tadorna,Common shelduck,1.152,24.8,acceptable,wild,AnAge,AnAge
Aves,Tadorna,tadornoides,Australian shelduck,1.364,13.1,acceptable,wild,AnAge,AnAge
Aves,Anseranas,semipalmata,Magpie goose,2.071,24.8,acceptable,wild,AnAge,AnAge
Aves,Aegotheles,cristatus,Australian owlet-nightjar,0.044125,5.9,acceptable,wild,AnAge,AnAge
Aves,Aerodramus,terraereginae,Australian swiftlet,0.011875,9.3,acceptable,wild,AnAge,AnAge
Aves,Aeronautes,saxatalis,White-throated swift,0.031,10.0,acceptable,wild,AnAge,AnAge
Aves,Apus,apus,Common swift,0.0376,21.1,acceptable,wild,AnAge,AnAge
