HAGRID,Kingdom,Phylum,Class,Order,Family,Genus,Species,Common name,Adult weight (g),Maximum longevity (yrs),Specimen origin,Data quality,Source
01851,Animalia,Chordata,Chondrichthyes,Squaliformes,Etmopteridae,Etmopterus,spinax,Velvet belly,467.5,7,wild,acceptable,822
01854,Animalia,Chordata,Chondrichthyes,Squaliformes,Squalidae,Squalus,acanthias,Spur dogfish,5005,75,wild,acceptable,822
01862,Animalia,Chordata,Chondrichthyes,Torpediniformes,Torpedinidae,Torpedo,marmorata,Marbled electric ray,1650,20,wild,acceptable,822
01864,Animalia,Chordata,Chondrostei,Acipenseriformes,Acipenseridae,Acipenser,brevirostrum,Shortnose sturgeon,9325,67,wild,acceptable,454
01866,Animalia,Chordata,Chondrostei,Acipenseriformes,Acipenseridae,Acipenser,fulvescens,Lake sturgeon,70000,152,wild,acceptable,1
01867,Animalia,Chordata,Chondrostei,Acipenseriformes,Acipenseridae,Acipenser,gueldenstaedtii,Russian sturgeon,63250,46,wild,acceptable,454
01868,Animalia,Chordata,Chondrostei,Acipenseriformes,Acipenseridae,Acipenser,oxyrinchus,Atlantic sturgeon,202400,60,wild,acceptable,22
01869,Animalia,Chordata,Chondrostei,Acipenseriformes,Acipenseridae,Acipenser,ruthenus,Sterlet,8800,46.1,captivity,acceptable,1
01870,Animalia,Chordata,Chondrostei,Acipenseriformes,Acipenseridae,Acipenser,schrenckii,Amur sturgeon,104500,60,wild,acceptable,454
01871,Animalia,Chordata,Chondrostei,Acipenseriformes,Acipenseridae,Acipenser,stellatus,Star sturgeon,44000,27,wild,acceptable,454
01872,Animalia,Chordata,Chondrostei,Acipenseriformes,Acipenseridae,Acipenser,sturio,European sturgeon,220000,100,wild,acceptable,454
01873,Animalia,Chordata,Chondrostei,Acipenseriformes,Acipenseridae,Acipenser,transmontanus,White sturgeon,448800,104,wild,acceptable,22
01874,Animalia,Chordata,Chondrostei,Acipenseriformes,Acipenseridae,Huso,dauricus,Kaluga,550000,55,wild,acceptable,454
01875,Animalia,Chordata,Chondrostei,Acipenseriformes,Acipenseridae,Huso,huso,Beluga sturgeon,1139600,118,wild,acceptable,1
01876,Animalia,Chordata,Chondrostei,Acipenseriformes,Acipenseridae,Pseudoscaphirhynchus,hermanni,Little shovelnose sturgeon,27.775,6,wild,acceptable,454
01877,Animalia,Chordata,Chondrostei,Acipenseriformes,Polyodontidae,Polyodon,spathula,Mississippi paddlefish,49885,55,wild,acceptable,454
01879,Animalia,Chordata,Coelacanthi,Coelacanthiformes,Latimeriidae,Latimeria,chalumnae,"West Indian ocean coelacanth, or Coelacanth",52250,48,wild,acceptable,454
01883,Animalia,Chordata,Holostei,Amiiformes,Amiidae,Amia,calva,Bowfin,5362.5,30,wild,acceptable,454
01884,Animalia,Chordata,Holostei,Lepisosteiformes,Lepisosteidae,Lepisosteus,oculatus,Spotted gar,2442,18,wild,acceptable,454
01885,Animalia,Chordata,Holostei,Lepisosteiformes,Lepisosteidae,Lepisosteus,osseus,Longnose gar,12540,36,wild,acceptable,454
01886,Animalia,Chordata,Holostei,Lepisosteiformes,Lepisosteidae,Lepisosteus,platostomus,Shortnose gar,1430,20,wild,acceptable,454
01888,Animalia,Chordata,Mammalia,Afrosoricida,Tenrecidae,Echinops,telfairi,Lesser hedgehog tenrec,180,19,captivity,acceptable,671
01891,Animalia,Chordata,Mammalia,Afrosoricida,Tenrecidae,Microgale,dobsoni,Dobson's shrew tenrec,37.8,5.6,captivity,acceptable,434
01892,Animalia,Chordata,Mammalia,Afrosoricida,Tenrecidae,Microgale,talazaci,Talazac's shrew tenrec,50,5.8,captivity,acceptable,434
01893,Animalia,Chordata,Mammalia,Afrosoricida,Tenrecidae,Setifer,setosus,Greater hedgehog tenrec,225,14.1,captivity,acceptable,671
01894,Animalia,Chordata,Mammalia,Afrosoricida,Tenrecidae,Tenrec,ecaudatus,"Tailess tenrec, or Tenrec",900,8.7,captivity,acceptable,671
01895,Animalia,Chordata,Mammalia,Artiodactyla,Antilocapridae,Antilocapra,americana,Pronghorn,46100,17,captivity,acceptable,1306
01896,Animalia,Chordata,Mammalia,Artiodactyla,Bovidae,Addax,nasomaculatus,Addax,92500,28,captivity,high,671
01897,Animalia,Chordata,Mammalia,Artiodactyla,Bovidae,Aepyceros,melampus,Impala,52500,25.6,captivity,high,671
01898,Animalia,Chordata,Mammalia,Artiodactyla,Bovidae,Alcelaphus,buselaphus,Hartebeest,159000,22.5,captivity,acceptable,671
01900,Animalia,Chordata,Mammalia,Artiodactyla,Bovidae,Ammotragus,lervia,Aoudad,92500,21.7,captivity,acceptable,671
01901,Animalia,Chordata,Mammalia,Artiodactyla,Bovidae,Antidorcas,marsupialis,Springbok,39000,19.8,captivity,high,671
01902,Animalia,Chordata,Mammalia,Artiodactyla,Bovidae,Antilope,cervicapra,Blackbuck,37500,23.9,captivity,high,671
01904,Animalia,Chordata,Mammalia,Artiodactyla,Bovidae,Bison,bison,American bison,630000,33.5,captivity,high,671
01905,Animalia,Chordata,Mammalia,Artiodactyla,Bovidae,Bison,bonasus,European bison,610000,26.4,captivity,acceptable,671
01906,Animalia,Chordata,Mammalia,Artiodactyla,Bovidae,Bos,frontalis,Gaur,825000,26.2,captivity,acceptable,671
01907,Animalia,Chordata,Mammalia,Artiodactyla,Bovidae,Bos,grunniens,Yak,667000,26.3,captivity,high,671
01908,Animalia,Chordata,Mammalia,Artiodactyla,Bovidae,Bos,javanicus,Banteng,700000,27.1,captivity,acceptable,671
01911,Animalia,Chordata,Mammalia,Artiodactyla,Bovidae,Boselaphus,tragocamelus,Nilgai,180000,21.7,captivity,high,671
01912,Animalia,Chordata,Mammalia,Artiodactyla,Bovidae,Bubalus,bubalis,Water buffalo,725000,34.9,captivity,acceptable,671
01913,Animalia,Chordata,Mammalia,Artiodactyla,Bovidae,Bubalus,depressicornis,Anoa,155000,36.1,captivity,acceptable,671
01915,Animalia,Chordata,Mammalia,Artiodactyla,Bovidae,Bubalus,quarlesi,Mountain anoa,150000,29.2,captivity,acceptable,671
01916,Animalia,Chordata,Mammalia,Artiodactyla,Bovidae,Budorcas,taxicolor,Takin,180000,21.9,captivity,acceptable,671
01917,Animalia,Chordata,Mammalia,Artiodactyla,Bovidae,Capra,caucasica,West Caucasian tur,70000,19.3,captivity,acceptable,671
01918,Animalia,Chordata,Mammalia,Artiodactyla,Bovidae,Capra,cylindricornis,East Caucasian tur,50000,20.2,captivity,acceptable,671
01919,Animalia,Chordata,Mammalia,Artiodactyla,Bovidae,Capra,falconeri,Markhor,41000,19.1,captivity,high,671
01920,Animalia,Chordata,Mammalia,Artiodactyla,Bovidae,Capra,hircus,Domestic goat,61000,20.8,captivity,high,671
01921,Animalia,Chordata,Mammalia,Artiodactyla,Bovidae,Capra,ibex,Ibex,82500,21,captivity,acceptable,1306
01922,Animalia,Chordata,Mammalia,Artiodactyla,Bovidae,Capra,nubiana,Nubian ibex,46250,22.4,captivity,acceptable,"John Gramieri, pers. comm."
01924,Animalia,Chordata,Mammalia,Artiodactyla,Bovidae,Capra,sibirica,Siberian ibex,130000,22.3,captivity,acceptable,671
01925,Animalia,Chordata,Mammalia,Artiodactyla,Bovidae,Capricornis,crispus,Japanese serow,80000,24,captivity,acceptable,671
01926,Animalia,Chordata,Mammalia,Artiodactyla,Bovidae,Capricornis,sumatraensis,Serow,95000,18.5,captivity,acceptable,671
01927,Animalia,Chordata,Mammalia,Artiodactyla,Bovidae,Cephalophus,dorsalis,Bay duiker,11600,17.5,captivity,acceptable,671
01928,Animalia,Chordata,Mammalia,Artiodactyla,Bovidae,Cephalophus,jentinki,Jentink's duiker,70000.3,21,captivity,acceptable,671
01929,Animalia,Chordata,Mammalia,Artiodactyla,Bovidae,Cephalophus,natalensis,Natal duiker,10000,15.2,captivity,acceptable,671
01930,Animalia,Chordata,Mammalia,Artiodactyla,Bovidae,Cephalophus,niger,Black duiker,18100,14.8,captivity,acceptable,671
01931,Animalia,Chordata,Mammalia,Artiodactyla,Bovidae,Cephalophus,nigrifrons,Black-fronted duiker,13900,17.9,captivity,acceptable,671
01932,Animalia,Chordata,Mammalia,Artiodactyla,Bovidae,Cephalophus,rufilatus,Red-flanked duiker,13000,15.2,captivity,acceptable,671
01933,Animalia,Chordata,Mammalia,Artiodactyla,Bovidae,Cephalophus,silvicultor,Yellow-backed duiker,62000,22.5,captivity,acceptable,671
01934,Animalia,Chordata,Mammalia,Artiodactyla,Bovidae,Cephalophus,weynsi,Weyns's duiker,10000,15.2,captivity,acceptable,671
01936,Animalia,Chordata,Mammalia,Artiodactyla,Bovidae,Connochaetes,gnou,Black wildebeest,132250,21.8,captivity,acceptable,671
01937,Animalia,Chordata,Mammalia,Artiodactyla,Bovidae,Connochaetes,taurinus,Blue wildebeest,164500,24.3,captivity,high,671
01938,Animalia,Chordata,Mammalia,Artiodactyla,Bovidae,Damaliscus,lunatus,Topi,110000,35,captivity,acceptable,1306
01939,Animalia,Chordata,Mammalia,Artiodactyla,Bovidae,Damaliscus,pygargus,"Bontebok, or Sassaby, or Blesbok",84500,23,captivity,high,671
01940,Animalia,Chordata,Mammalia,Artiodactyla,Bovidae,Eudorcas,rufifrons,Red-fronted gazelle,15011,14.5,captivity,acceptable,671
01941,Animalia,Chordata,Mammalia,Artiodactyla,Bovidae,Eudorcas,thomsonii,Thomson's gazelle,25000,20,captivity,acceptable,671
01943,Animalia,Chordata,Mammalia,Artiodactyla,Bovidae,Gazella,cuvieri,Cuvier's gazelle,17500,17.9,captivity,acceptable,671
01944,Animalia,Chordata,Mammalia,Artiodactyla,Bovidae,Gazella,dorcas,Dorcas gazelle,14500,23.7,captivity,high,671
01945,Animalia,Chordata,Mammalia,Artiodactyla,Bovidae,Gazella,gazella,Mountain gazelle,23250,18.3,captivity,high,671
01946,Animalia,Chordata,Mammalia,Artiodactyla,Bovidae,Gazella,leptoceros,Rhim gazelle,48500,14.6,captivity,acceptable,671
01947,Animalia,Chordata,Mammalia,Artiodactyla,Bovidae,Gazella,saudiya,Saudi gazelle,32185.7,21,captivity,acceptable,1306
01949,Animalia,Chordata,Mammalia,Artiodactyla,Bovidae,Gazella,subgutturosa,Goitered gazelle,48500,16.3,captivity,high,671
01950,Animalia,Chordata,Mammalia,Artiodactyla,Bovidae,Hemitragus,hylocrius,Nilgiri tahr,75000,17.3,captivity,acceptable,671
01952,Animalia,Chordata,Mammalia,Artiodactyla,Bovidae,Hemitragus,jemlahicus,Himalayan tahr,35200,24,captivity,acceptable,1306
01953,Animalia,Chordata,Mammalia,Artiodactyla,Bovidae,Hippotragus,equinus,Roan antelope,225000,25.9,captivity,acceptable,671
01954,Animalia,Chordata,Mammalia,Artiodactyla,Bovidae,Hippotragus,niger,Sable antelope,225000,22.2,captivity,high,671
01955,Animalia,Chordata,Mammalia,Artiodactyla,Bovidae,Kobus,ellipsiprymnus,Waterbuck,175333,30,captivity,high,671
01956,Animalia,Chordata,Mammalia,Artiodactyla,Bovidae,Kobus,kob,Kob,105000,21.9,captivity,acceptable,671
01957,Animalia,Chordata,Mammalia,Artiodactyla,Bovidae,Kobus,leche,Lechwe,94800,27,captivity,acceptable,1306
01958,Animalia,Chordata,Mammalia,Artiodactyla,Bovidae,Kobus,megaceros,Nile lechwe,90000,21.1,captivity,high,671
01959,Animalia,Chordata,Mammalia,Artiodactyla,Bovidae,Litocranius,walleri,Gerenuk,43500,17.3,captivity,acceptable,671
01960,Animalia,Chordata,Mammalia,Artiodactyla,Bovidae,Madoqua,guentheri,Gunther's dik-dik,4550,17.5,captivity,acceptable,671
01961,Animalia,Chordata,Mammalia,Artiodactyla,Bovidae,Madoqua,kirkii,Kirk's dik-dik,5000,17.3,captivity,acceptable,671
01962,Animalia,Chordata,Mammalia,Artiodactyla,Bovidae,Naemorhedus,baileyi,Red goral,28863,19,captivity,acceptable,671
01963,Animalia,Chordata,Mammalia,Artiodactyla,Bovidae,Naemorhedus,caudatus,Chinese goral,27000,20.3,captivity,acceptable,671
01964,Animalia,Chordata,Mammalia,Artiodactyla,Bovidae,Naemorhedus,goral,Goral,31750,17.6,captivity,acceptable,671
01965,Animalia,Chordata,Mammalia,Artiodactyla,Bovidae,Nanger,dama,Dama gazelle,73000,19.3,captivity,acceptable,671
01966,Animalia,Chordata,Mammalia,Artiodactyla,Bovidae,Nanger,granti,Grant's gazelle,67000,23,captivity,acceptable,1306
01967,Animalia,Chordata,Mammalia,Artiodactyla,Bovidae,Nanger,soemmerringii,Soemmerring's gazelle,48500,15.5,captivity,acceptable,671
01968,Animalia,Chordata,Mammalia,Artiodactyla,Bovidae,Neotragus,moschatus,Suni,6500,13.5,captivity,acceptable,671
01969,Animalia,Chordata,Mammalia,Artiodactyla,Bovidae,Neotragus,pygmaeus,Royal antelope,2250,11.1,captivity,acceptable,671
01970,Animalia,Chordata,Mammalia,Artiodactyla,Bovidae,Oreamnos,americanus,Mountain goat,90000,20.8,captivity,acceptable,671
01971,Animalia,Chordata,Mammalia,Artiodactyla,Bovidae,Oreotragus,oreotragus,Klipspringer,12000,25.9,captivity,acceptable,671
01972,Animalia,Chordata,Mammalia,Artiodactyla,Bovidae,Oryx,dammah,Scimitar-horned oryx,177500,27.5,captivity,high,671
01973,Animalia,Chordata,Mammalia,Artiodactyla,Bovidae,Oryx,gazella,Gemsbok,170000,23.8,captivity,high,671
01974,Animalia,Chordata,Mammalia,Artiodactyla,Bovidae,Oryx,leucoryx,Arabian oryx,121350,20.8,captivity,high,671
01975,Animalia,Chordata,Mammalia,Artiodactyla,Bovidae,Ourebia,ourebi,Oribi,17000,15.9,captivity,acceptable,671
01976,Animalia,Chordata,Mammalia,Artiodactyla,Bovidae,Ovibos,moschatus,Muskox,315000,27.4,captivity,acceptable,671
01977,Animalia,Chordata,Mammalia,Artiodactyla,Bovidae,Ovis,ammon,Argali,160000,16.8,captivity,acceptable,671
01978,Animalia,Chordata,Mammalia,Artiodactyla,Bovidae,Ovis,aries,"Domestic sheep, or Mouflon",80000,22.8,captivity,high,671
01979,Animalia,Chordata,Mammalia,Artiodactyla,Bovidae,Ovis,canadensis,Bighorn sheep,70275,20.6,captivity,acceptable,671
01980,Animalia,Chordata,Mammalia,Artiodactyla,Bovidae,Ovis,dalli,Dall's sheep,73100,19.6,captivity,acceptable,671
01982,Animalia,Chordata,Mammalia,Artiodactyla,Bovidae,Philantomba,maxwellii,Maxwell's duiker,7000,18.3,captivity,acceptable,671
01983,Animalia,Chordata,Mammalia,Artiodactyla,Bovidae,Philantomba,monticola,Blue duiker,6250,15.9,captivity,acceptable,671
01984,Animalia,Chordata,Mammalia,Artiodactyla,Bovidae,Procapra,gutturosa,Mongolian gazelle,30000,12,captivity,acceptable,671
01985,Animalia,Chordata,Mammalia,Artiodactyla,Bovidae,Pseudois,nayaur,Bharal,55000,20.9,captivity,acceptable,671
01986,Animalia,Chordata,Mammalia,Artiodactyla,Bovidae,Raphicerus,campestris,Steenbok,13000,9.3,captivity,acceptable,671
01988,Animalia,Chordata,Mammalia,Artiodactyla,Bovidae,Redunca,arundinum,Southern reedbuck,58000,16.8,captivity,acceptable,671
01989,Animalia,Chordata,Mammalia,Artiodactyla,Bovidae,Redunca,fulvorufula,Mountain reedbuck,30000,15,captivity,acceptable,671
01992,Animalia,Chordata,Mammalia,Artiodactyla,Bovidae,Rupicapra,rupicapra,Chamois,37500,17.6,captivity,acceptable,671
01994,Animalia,Chordata,Mammalia,Artiodactyla,Bovidae,Sylvicapra,grimmia,Bush duiker,18500,15.4,captivity,acceptable,671
01995,Animalia,Chordata,Mammalia,Artiodactyla,Bovidae,Syncerus,caffer,African buffalo,700000,32.8,captivity,acceptable,"Thomas Brockmann, pers. comm."
01996,Animalia,Chordata,Mammalia,Artiodactyla,Bovidae,Taurotragus,derbianus,Giant eland,680000,20.3,captivity,acceptable,671
01997,Animalia,Chordata,Mammalia,Artiodactyla,Bovidae,Taurotragus,oryx,Eland,500000,26.1,captivity,high,671
01998,Animalia,Chordata,Mammalia,Artiodactyla,Bovidae,Tetracerus,quadricornis,Four-horned antelope,19000,17.4,captivity,acceptable,671
01999,Animalia,Chordata,Mammalia,Artiodactyla,Bovidae,Tragelaphus,angasii,Nyala,120000,23,captivity,acceptable,1306
02000,Animalia,Chordata,Mammalia,Artiodactyla,Bovidae,Tragelaphus,eurycerus,Bongo,307500,22,captivity,acceptable,1306
02001,Animalia,Chordata,Mammalia,Artiodactyla,Bovidae,Tragelaphus,imberbis,Lesser kudu,82500,19.8,captivity,acceptable,671
02002,Animalia,Chordata,Mammalia,Artiodactyla,Bovidae,Tragelaphus,scriptus,Bushbuck,60000,15.3,captivity,acceptable,671
02003,Animalia,Chordata,Mammalia,Artiodactyla,Bovidae,Tragelaphus,spekii,Sitatunga,87500,22.6,captivity,high,671
02004,Animalia,Chordata,Mammalia,Artiodactyla,Bovidae,Tragelaphus,strepsiceros,Greater kudu,217500,23.5,captivity,high,671
02005,Animalia,Chordata,Mammalia,Artiodactyla,Camelidae,Camelus,bactrianus,Bactrian camel,475000,35.4,captivity,high,671
02006,Animalia,Chordata,Mammalia,Artiodactyla,Camelidae,Camelus,dromedarius,Dromedary,434000,28.4,captivity,acceptable,671
02007,Animalia,Chordata,Mammalia,Artiodactyla,Camelidae,Lama,glama,Llama,140000,28.9,captivity,high,671
02008,Animalia,Chordata,Mammalia,Artiodactyla,Camelidae,Lama,guanicoe,Guanaco,127500,33.7,captivity,high,671
02009,Animalia,Chordata,Mammalia,Artiodactyla,Camelidae,Vicugna,pacos,Alpaca,62000,25.8,captivity,high,671
02010,Animalia,Chordata,Mammalia,Artiodactyla,Camelidae,Vicugna,vicugna,Vicugna,50000,31.6,captivity,acceptable,671
02013,Animalia,Chordata,Mammalia,Artiodactyla,Cervidae,Axis,axis,Chital,36000,20.8,captivity,high,671
02014,Animalia,Chordata,Mammalia,Artiodactyla,Cervidae,Axis,calamianensis,Calamian deer,40500,17.2,captivity,acceptable,671
02015,Animalia,Chordata,Mammalia,Artiodactyla,Cervidae,Axis,kuhlii,Bawean deer,55000,17.8,captivity,acceptable,671
02016,Animalia,Chordata,Mammalia,Artiodactyla,Cervidae,Axis,porcinus,Hog deer,43000,22.9,captivity,acceptable,671
02018,Animalia,Chordata,Mammalia,Artiodactyla,Cervidae,Capreolus,capreolus,Western roe deer,21666.7,17.5,captivity,acceptable,671
02020,Animalia,Chordata,Mammalia,Artiodactyla,Cervidae,Cervus,elaphus,Red deer,200000,31.5,captivity,high,671
02021,Animalia,Chordata,Mammalia,Artiodactyla,Cervidae,Cervus,nippon,Sika deer,42000,26.3,captivity,high,671
02022,Animalia,Chordata,Mammalia,Artiodactyla,Cervidae,Dama,dama,Fallow deer,70000,27,captivity,acceptable,1306
02023,Animalia,Chordata,Mammalia,Artiodactyla,Cervidae,Elaphodus,cephalophus,Tufted deer,33500,22.7,captivity,acceptable,671
02024,Animalia,Chordata,Mammalia,Artiodactyla,Cervidae,Elaphurus,davidianus,Pere David's deer,186500,27.5,captivity,high,671
02027,Animalia,Chordata,Mammalia,Artiodactyla,Cervidae,Hydropotes,inermis,Chinese water deer,11500,13.9,captivity,acceptable,671
02028,Animalia,Chordata,Mammalia,Artiodactyla,Cervidae,Mazama,americana,Red brocket,33000,17.1,captivity,acceptable,671
02029,Animalia,Chordata,Mammalia,Artiodactyla,Cervidae,Mazama,gouazoubira,Gray brocket,17000,14.8,captivity,acceptable,671
02032,Animalia,Chordata,Mammalia,Artiodactyla,Cervidae,Muntiacus,muntjak,Indian muntjac,21000,18.8,captivity,acceptable,671
02033,Animalia,Chordata,Mammalia,Artiodactyla,Cervidae,Muntiacus,reevesi,Reeves's muntjac,18000,23.2,captivity,high,671
02034,Animalia,Chordata,Mammalia,Artiodactyla,Cervidae,Odocoileus,hemionus,Mule deer,57000,22,captivity,acceptable,671
02035,Animalia,Chordata,Mammalia,Artiodactyla,Cervidae,Odocoileus,virginianus,White-tailed deer,87000,23,captivity,high,956
02036,Animalia,Chordata,Mammalia,Artiodactyla,Cervidae,Ozotoceros,bezoarticus,Pampas deer,32500,21.9,captivity,acceptable,671
02037,Animalia,Chordata,Mammalia,Artiodactyla,Cervidae,Przewalskium,albirostre,Thorold's deer,135000,21.3,captivity,acceptable,671
02038,Animalia,Chordata,Mammalia,Artiodactyla,Cervidae,Pudu,puda,Southern pudu,10000,18.3,captivity,acceptable,956
02039,Animalia,Chordata,Mammalia,Artiodactyla,Cervidae,Rangifer,tarandus,"Caribou, or Reindeer",101250,21.8,captivity,high,956
02040,Animalia,Chordata,Mammalia,Artiodactyla,Cervidae,Rucervus,duvaucelii,Barasingha,170000,24.5,captivity,high,671
02041,Animalia,Chordata,Mammalia,Artiodactyla,Cervidae,Rucervus,eldii,Eld's deer,122500,20.5,captivity,high,671
02042,Animalia,Chordata,Mammalia,Artiodactyla,Cervidae,Rusa,alfredi,Visayan spotted deer,46475,18.5,captivity,acceptable,671
02044,Animalia,Chordata,Mammalia,Artiodactyla,Cervidae,Rusa,timorensis,Timor deer,63000,21.1,captivity,acceptable,671
02045,Animalia,Chordata,Mammalia,Artiodactyla,Cervidae,Rusa,unicolor,Sambar,185000,26.4,captivity,acceptable,671
02046,Animalia,Chordata,Mammalia,Artiodactyla,Giraffidae,Giraffa,camelopardalis,Giraffe,800000,39.5,captivity,high,671
02047,Animalia,Chordata,Mammalia,Artiodactyla,Giraffidae,Okapia,johnstoni,Okapi,225000,33.5,captivity,acceptable,671
02048,Animalia,Chordata,Mammalia,Artiodactyla,Hippopotamidae,Hexaprotodon,liberiensis,Pygmy hippopotamus,215000,42.3,captivity,acceptable,671
02049,Animalia,Chordata,Mammalia,Artiodactyla,Hippopotamidae,Hippopotamus,amphibius,Hippopotamus,3750000,61.2,captivity,acceptable,671
02053,Animalia,Chordata,Mammalia,Artiodactyla,Suidae,Babyrousa,babyrussa,Babirusa,71500,22.9,captivity,acceptable,671
02055,Animalia,Chordata,Mammalia,Artiodactyla,Suidae,Phacochoerus,africanus,Wart hog,100000,30,captivity,acceptable,1306
02057,Animalia,Chordata,Mammalia,Artiodactyla,Suidae,Potamochoerus,porcus,Red river hog,88000,22,captivity,high,671
02058,Animalia,Chordata,Mammalia,Artiodactyla,Suidae,Sus,barbatus,Bearded pig,102750,16.2,captivity,acceptable,671
02059,Animalia,Chordata,Mammalia,Artiodactyla,Suidae,Sus,salvanius,Pygmy hog,8000,14,captivity,acceptable,671
02060,Animalia,Chordata,Mammalia,Artiodactyla,Suidae,Sus,scrofa,Wild boar,130000,27,captivity,high,671
02061,Animalia,Chordata,Mammalia,Artiodactyla,Suidae,Sus,verrucosus,Javan pig,76000,17,captivity,acceptable,671
02063,Animalia,Chordata,Mammalia,Artiodactyla,Tayassuidae,Pecari,tajacu,Collared peccary,20200,31.5,captivity,high,671
02064,Animalia,Chordata,Mammalia,Artiodactyla,Tayassuidae,Tayassu,pecari,White-lipped peccary,22000,28.5,captivity,acceptable,671
02066,Animalia,Chordata,Mammalia,Artiodactyla,Tragulidae,Moschiola,meminna,Indian spotted chevrotain,2450,14.5,captivity,acceptable,671
02067,Animalia,Chordata,Mammalia,Artiodactyla,Tragulidae,Tragulus,javanicus,Lesser mouse-deer,2850,14,captivity,acceptable,671
02068,Animalia,Chordata,Mammalia,Artiodactyla,Tragulidae,Tragulus,napu,Greater mouse-deer,6500,16.7,captivity,acceptable,671
02069,Animalia,Chordata,Mammalia,Carnivora,Ailuridae,Ailurus,fulgens,Red panda,4325,19,captivity,high,671
02070,Animalia,Chordata,Mammalia,Carnivora,Canidae,Atelocynus,microtis,Short-eared dog,9500,11.9,captivity,acceptable,671
02071,Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,adustus,Side-striped jackal,10250,13.7,captivity,acceptable,671
02072,Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,aureus,Golden jackal,11000,18.8,captivity,acceptable,671
02073,Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,familiaris,Domestic dog,40000,27,captivity,acceptable,1330
02074,Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,latrans,Coyote,13250,21.8,captivity,acceptable,671
02075,Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,lupus,Gray wolf,26625,20.6,captivity,high,671
02076,Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,mesomelas,Black-backed jackal,10250,16.7,captivity,acceptable,671
02077,Animalia,Chordata,Mammalia,Carnivora,Canidae,Cerdocyon,thous,Crab-eating fox,6500,12.7,captivity,acceptable,671
02078,Animalia,Chordata,Mammalia,Carnivora,Canidae,Chrysocyon,brachyurus,Maned wolf,21500,16.8,captivity,acceptable,671
02079,Animalia,Chordata,Mammalia,Carnivora,Canidae,Cuon,alpinus,Dhole,15750,16.1,captivity,acceptable,671
02080,Animalia,Chordata,Mammalia,Carnivora,Canidae,Lycalopex,culpaeus,Culpeo,13000,13.1,captivity,acceptable,671
02081,Animalia,Chordata,Mammalia,Carnivora,Canidae,Lycalopex,griseus,Argentinian gray fox,3990,10.9,captivity,acceptable,671
02082,Animalia,Chordata,Mammalia,Carnivora,Canidae,Lycalopex,gymnocercus,Pampas fox,8500,13.7,captivity,acceptable,671
02083,Animalia,Chordata,Mammalia,Carnivora,Canidae,Lycalopex,sechurae,Sechuran fox,4000,9.9,captivity,acceptable,671
02084,Animalia,Chordata,Mammalia,Carnivora,Canidae,Lycalopex,vetulus,Hoary fox,5350,12.6,captivity,acceptable,671
02085,Animalia,Chordata,Mammalia,Carnivora,Canidae,Lycaon,pictus,African wild dog,26500,17,captivity,high,671
02086,Animalia,Chordata,Mammalia,Carnivora,Canidae,Nyctereutes,procyonoides,Raccoon dog,6500,16.6,captivity,acceptable,671
02087,Animalia,Chordata,Mammalia,Carnivora,Canidae,Otocyon,megalotis,Bat-eared fox,4150,17,captivity,acceptable,671
02088,Animalia,Chordata,Mammalia,Carnivora,Canidae,Speothos,venaticus,Bush dog,6000,14.1,captivity,acceptable,671
02089,Animalia,Chordata,Mammalia,Carnivora,Canidae,Urocyon,cinereoargenteus,Gray fox,4750,16.2,captivity,acceptable,671
02094,Animalia,Chordata,Mammalia,Carnivora,Canidae,Vulpes,corsac,Corsac fox,2700,13,captivity,acceptable,671
02095,Animalia,Chordata,Mammalia,Carnivora,Canidae,Vulpes,lagopus,Arctic fox,5200,16.3,captivity,acceptable,671
02096,Animalia,Chordata,Mammalia,Carnivora,Canidae,Vulpes,macrotis,Kit fox,2500,15.8,captivity,acceptable,671
02097,Animalia,Chordata,Mammalia,Carnivora,Canidae,Vulpes,pallida,Pale fox,2800,16,captivity,acceptable,671
02098,Animalia,Chordata,Mammalia,Carnivora,Canidae,Vulpes,rueppellii,Ruppell's sand fox,3200,14.3,captivity,acceptable,671
02099,Animalia,Chordata,Mammalia,Carnivora,Canidae,Vulpes,velox,Swift fox,2400,15.9,captivity,acceptable,671
02100,Animalia,Chordata,Mammalia,Carnivora,Canidae,Vulpes,vulpes,Red fox,4131.7,21.3,captivity,acceptable,671
02101,Animalia,Chordata,Mammalia,Carnivora,Canidae,Vulpes,zerda,Fennec,1250,16.3,captivity,acceptable,671
02102,Animalia,Chordata,Mammalia,Carnivora,Eupleridae,Cryptoprocta,ferox,Fossa,9500,23.1,captivity,acceptable,671
02103,Animalia,Chordata,Mammalia,Carnivora,Eupleridae,Fossa,fossana,Malagasy civet,1540,21.4,captivity,acceptable,671
02104,Animalia,Chordata,Mammalia,Carnivora,Eupleridae,Galidia,elegans,Ring-tailed mongoose,800,26,captivity,acceptable,671
02106,Animalia,Chordata,Mammalia,Carnivora,Felidae,Acinonyx,jubatus,Cheetah,53500,20.5,captivity,high,671
