HAGRID,Kingdom,Phylum,Class,Order,Family,Genus,Species,Common name,Adult weight (g),Maximum longevity (yrs),Specimen origin,Data quality,Source
00369,Animalia,Chordata,Aves,Apodiformes,Apodidae,Apus,melba,Alpine swift,102.7,26,wild,acceptable,729
00370,Animalia,Chordata,Aves,Apodiformes,Apodidae,Chaetura,pelagica,Chimney swift,22.8,15,wild,acceptable,579
00372,Animalia,Chordata,Aves,Apodiformes,Apodidae,Cypseloides,niger,Black swift,45,16.1,wild,acceptable,427
00373,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Amazilia,violiceps,Violet-crowned hummingbird,5.1,6.1,wild,acceptable,0427
00374,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Amazilia,yucatanensis,Buff-bellied hummingbird,3.9,11.2,wild,acceptable,0427
00375,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Archilochus,alexandri,Black-chinned hummingbird,3,11.2,wild,acceptable,427
00376,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Archilochus,colubris,Ruby-throated hummingbird,3.1,9.1,wild,acceptable,427
00377,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Calothorax,lucifer,Lucifer hummingbird,3.3,4.1,wild,acceptable,427
00378,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Calypte,anna,Anna's hummingbird,4.4,8.5,wild,acceptable,577
00379,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Calypte,costae,Costa's hummingbird,3.1,6,unknown,acceptable,
00380,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Cynanthus,latirostris,Broad-billed hummingbird,3.3,8.8,wild,acceptable,427
00381,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Eugenes,fulgens,Magnificent hummingbird,8.1,11,wild,acceptable,427
00382,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Lampornis,clemenciae,Blue-throated hummingbird,7.6,12,unknown,acceptable,444
00383,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Lamprolaima,rhami,Garnet-throated hummingbird,7.8,8,wild,acceptable,1
00384,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Selasphorus,platycercus,Broad-tailed hummingbird,4.2,14,unknown,acceptable,
00385,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Selasphorus,rufus,Rufous hummingbird,3.5,8.9,wild,acceptable,427
00387,Animalia,Chordata,Aves,Apodiformes,Trochilidae,Stellula,calliope,Calliope hummingbird,2.6,7,wild,acceptable,427
00388,Animalia,Chordata,Aves,Apterygiformes,Apterygidae,Apteryx,australis,Brown kiwi,2600,35,captivity,acceptable,1
00389,Animalia,Chordata,Aves,Bucerotiformes,Bucerotidae,Buceros,bicornis,Great hornbill,2798.5,33.4,captivity,acceptable,575
00390,Animalia,Chordata,Aves,Bucerotiformes,Bucerotidae,Bycanistes,subcylindricus,Grey-cheeked hornbill,1250,31.8,captivity,acceptable,972
